Titolo;Personaggi;Editore;Anno di pubblicazione;Biblioteca;Prima lettura;Seconda lettura
A Mysterious;;;;NO;;
Carta bianca (Carte Blanche);James Bond;Rizzoli 2011;2011;SI;;28/08/2022
Fatal Intrusion;Carmen Sanchez;Longanesi;2025;SI;27/07/2025;
Fiume di sangue (Bloody River Blues);John Pellam;Sonzogno 2007;1993;SI;;04/10/2024
Gli Eletti (The Goodbye Man);Colter Shaw;Rizzoli 2020;2020;SI;;15/04/2021
Hard news (Hard News);Trilogia di Rune;Rizzoli 2015;1992;NO;;
I corpi lasciati indietro (The Bodies Left Behind);Romanzi;Rizzoli 2009;2008;SI;;08/07/2023
Il bacio d'acciaio (The Steel Kiss);Lincoln Rhyme e Amelia Sachs;Rizzoli 2016;2016;SI;;24/05/2023
Il braccialetto di rame;;;;NO;;
Il collezionista di ossa (The Bone Collector);Lincoln Rhyme e Amelia Sachs;Sonzogno 1998;1997;SI;;04/09/2022
Il filo che brucia (The Burning Wire);Lincoln Rhyme e Amelia Sachs;Rizzoli 2010;2010;SI;;10/07/2021
Il giardino delle belve (Garden Of Beasts);Romanzi;Sonzogno 2004;2004;SI;;01/11/2021
Il gioco del mai (The never game);Colter Shaw;Rizzoli 2019;2019;SI;;
Il re dei morti (The Deliveryman);lincoln Rhyme e Amelia Sachs;Rizzoli 2016;2016;SI;08/08/2024;
Il silenzio dei rapiti (A Maiden's Grave);Romanzi;Sonzogno 1999;1995;SI;;30/11/2022
Il taglio di Dio (The Cutting Edge);Lincoln Rhyme e Amelia Sachs;Rizzoli 2018;2018;SI;;28/10/2022
Il valzer dell'impiccato (The Burial Hour);Lincoln Rhyme e Amelia Sachs;Rizzoli 2017;2017;SI;;03/08/2021
Il visitatore notturno (The Midnight Lock);Lincoln Rhyme e Amelia Sachs;Rizzoli 2021;2021;SI;27/07/2024;
Insieme per sempre (Forever), contenuta in Deviazioni (Transgressions);Racconti brevi;Sonzogno 2007;2005;NO;;
L'addestratore (Edge);Romanzi;Rizzoli 2011;2010;SI;;31/01/2022
L'ombra del collezionista (The Skin Collector);Lincoln Rhyme e Amelia Sachs;Rizzoli 2014;2014;SI;;21/07/2021
L'ultimo copione di John Pellam (Hell's Kitchen);John Pellam;Sonzogno 2007;2001;SI;;
L'uomo del sole (The Lesson of Her Death);Romanzi;Rizzoli 2013;1933;SI;;09/09/2023
L'uomo scomparso (The Vanished Man);Lincoln Rhyme e Amelia Sachs;Sonzogno 2003;2003;SI;;
La bambola che dorme (The Sleeping Doll);Kathryn Dance;Sonzogno 2007;2007;SI;;30/01/2023
La consulente (Mistress of Justice);Romanzi;Rizzoli 2012;1992;NO;;
La dodicesima carta (The Twelfth Card);Lincoln Rhyme e Amelia Sachs;Sonzogno 2005;2005;SI;;15/05/2021
La figlia sbagliata (Speaking In Tongues);Romanzi;Rizzoli 2010;2000;SI;;30/09/2022
La finestra rotta (The Broken Window);Lincoln Rhyme e Amelia Sachs;Rizzoli 2008;2008;SI;;11/08/2021
La lacrima del diavolo (The Devil's Teardrop);Romanzi;Sonzogno 1999;1999;SI;;24/12/2023
La luna fredda (The Cold Moon);Lincoln Rhyme e Amelia Sachs;Sonzogno 2006;2006;SI;;27/06/2021
